基金碼,年月日,基金統編,公會基金類型,幣別,淨值(元),淨值變動率%-週
T3704Y 國泰平衡,2017/09/01,18494624,平衡--一般股票型,TWD,27.03,0.895857
T3743A 國泰全多重平衡 A,2017/09/01,38582842A,跨國平衡-全球型,TWD,10.82,0.464254
T3743B 國泰全多重平衡 B,2017/09/01,38582842B,跨國平衡-全球型,TWD,9.87,0.406918
T3743C 國泰全多重平衡A$,2017/09/01,38582842C,跨國平衡-全球型,USD,0.3978,0.530706
T3743D 國泰全多重平衡B$,2017/09/01,38582842D,跨國平衡-全球型,USD,0.3682,0.54615
T3743E 國泰全多重平衡I$,2017/09/01,38582842E,跨國平衡-全球型,USD,0.4166,0.555153
T3743F 國泰全多重平衡AA,2017/09/01,38582842F,跨國平衡-全球型,AUD,0.4465,0.089667
T4126A 凱基全高效平衡A,2017/09/01,42453588A,跨國平衡-全球型,TWD,10,0.300903
T4126B 凱基全高效平衡B,2017/09/01,42453588B,跨國平衡-全球型,TWD,9.8,0.307063
T4126C 凱基全高效平衡A$,2017/09/01,42453588C,跨國平衡-全球型,USD,10.4934,0.577002
T4332Y 華頓中國機會平衡,2017/09/01,38634406,跨國平衡-中國,TWD,12.1404,0.262623
T4519A 富蘭亞太平衡A,2017/09/01,42407614A,跨國平衡-亞洲,TWD,10.36,1.07317
T4519B 富蘭亞太平衡B,2017/09/01,42407614B,跨國平衡-亞洲,TWD,10.03,1.136772
T4519C 富蘭亞太平衡A$,2017/09/01,42407614C,跨國平衡-亞洲,USD,10.76,1.318267
T4519D 富蘭亞太平衡B$,2017/09/01,42407614D,跨國平衡-亞洲,USD,10.41,1.301109
T4519E 富蘭亞太平衡BC,2017/09/01,42407614E,跨國平衡-亞洲,CNY,10.48,0.805565
T4703Y 台新高股息平衡,2017/09/01,21719942,平衡--一般股票型,TWD,29.759,0.496422
T0105Y 兆豐國際萬全,2017/08/25,00971976,平衡--一般股票型,TWD,20.43,1.389577
T0121A 兆豐大中華平衡,2017/08/25,42334401A,跨國平衡-亞洲,TWD,10.05,2.655771
T0121B 兆豐大中華平衡 $,2017/08/25,42334401B,跨國平衡-亞洲,USD,10.73,2.876318
T0121C 兆豐大中華平衡 C,2017/08/25,42334401C,跨國平衡-亞洲,CNY,11.01,2.609505
T0320Y 第一金中概平衡,2017/08/25,99353151,平衡--一般股票型,TWD,23,2.040817
T0343A 第一金全球多息 A,2017/08/25,38539992A,跨國平衡-全球型,TWD,10.3073,0.703448
T0343B 第一金全球多息 B,2017/08/25,38539992B,跨國平衡-全球型,TWD,9.0827,0.704052
T0405Y 匯豐安富,2017/08/25,00971080,平衡--一般股票型,TWD,25.08,1.047542
T0458A 匯豐中多息平Aa,2017/08/25,38647535A,跨國平衡-中國,TWD,10.5804,0.592312
T0458B 匯豐中多息平Bd,2017/08/25,38647535B,跨國平衡-中國,TWD,9.8402,0.592913
T0458C 匯豐中多息平AaC,2017/08/25,38647535C,跨國平衡-中國,CNY,11.6886,0.276243
T0458D 匯豐中多息平BdC,2017/08/25,38647535D,跨國平衡-中國,CNY,10.926,0.235773
T0458E 匯豐中多息平Aa$,2017/08/25,38647535E,跨國平衡-中國,USD,11.0082,0.864958
T0458F 匯豐中多息平Bd$,2017/08/25,38647535F,跨國平衡-中國,USD,10.3088,0.894553
T0479A 匯亞exJP多息平 A,2017/08/25,42443317A,跨國平衡-亞洲,TWD,10.53,0.381315
T0479B 匯亞exJP多息Bd,2017/08/25,42443317B,跨國平衡-亞洲,TWD,10.46,0.383877
T0479C 匯亞exJP多息BdC,2017/08/25,42443317C,跨國平衡-亞洲,CNY,11.18,0.449236
T0479D 匯亞exJP多息平A$,2017/08/25,42443317D,跨國平衡-亞洲,USD,11.05,0.545951
T0479E 匯亞exJP多息Bd$,2017/08/25,42443317E,跨國平衡-亞洲,USD,10.97,0.457875
T0479F 匯亞exJP多息BdA,2017/08/25,42443317F,跨國平衡-亞洲,AUD,11.04,0.546448
T0591A 元大中平衡 CNY,2017/08/25,31830473B,跨國平衡-中國,CNY,3.15,0
T0591Y 元大中平衡 NTD,2017/08/25,31830473A,跨國平衡-中國,TWD,14.29,0.280702
T05A2A 元大新東協平衡,2017/08/25,42403764A,跨國平衡-亞洲,TWD,9.57,0.630915
T05A2B 元大新東協平衡 $,2017/08/25,42403764B,跨國平衡-亞洲,USD,10.007,0.866848
T05A3A 元大大中華豐平,2017/08/25,42451239A,跨國平衡-亞洲,TWD,10.9,2.385873
T05A3B 元大大中華豐平 C,2017/08/25,42451239B,跨國平衡-亞洲,CNY,11.157,2.076854
T0717Y 瀚亞理財通,2017/08/25,18036769,平衡--一般股票型,TWD,23.17,1.89094
T0747A 瀚亞亞太豐平衡 A,2017/08/25,38621330A,跨國平衡-亞洲,TWD,10.8349,0.855441
T0747B 瀚亞亞太豐平衡 B,2017/08/25,38621330B,跨國平衡-亞洲,TWD,9.4809,0.855274
T0747C 瀚亞亞太豐平衡A$,2017/08/25,38621330C,跨國平衡-亞洲,USD,11.119,1.032221
T0747D 瀚亞亞太豐平衡B$,2017/08/25,38621330D,跨國平衡-亞洲,USD,9.7365,1.031429
T0747E 瀚亞亞太豐平衡AA,2017/08/25,38621330E,跨國平衡-亞洲,AUD,11.3614,1.079173
T0747F 瀚亞亞太豐平衡BA,2017/08/25,38621330F,跨國平衡-亞洲,AUD,9.5231,1.079458
T0747G 瀚亞亞太豐平衡AZ,2017/08/25,38621330G,跨國平衡-亞洲,ZAR,13.268,1.100307
T0747H 瀚亞亞太豐平衡BZ,2017/08/25,38621330H,跨國平衡-亞洲,ZAR,10.6279,1.099665
T0747J 瀚亞亞太豐平衡AC,2017/08/25,38621330I,跨國平衡-亞洲,CNY,11.8663,1.111121
T0747K 瀚亞亞太豐平衡BC,2017/08/25,38621330J,跨國平衡-亞洲,CNY,9.8616,1.11143
T0814Y 保德信金平衡,2017/08/25,18044064,平衡--價值股票型,TWD,28.79,1.731449
T0890A 保德信中國好平A,2017/08/25,42330171A,跨國平衡-中國,TWD,10.0845,1.495587
T0890B 保德信中國好平B,2017/08/25,42330171B,跨國平衡-中國,TWD,9.6275,1.495952
T0890C 保德信中國好平B$,2017/08/25,42330171C,跨國平衡-中國,USD,9.5143,1.466385
T0890D 保德信中國好平BC,2017/08/25,42330171D,跨國平衡-中國,CNY,9.5276,1.517283
T1114Y 摩根平衡,2017/08/25,18036846,平衡--價值股票型,TWD,27.6,0.546447
T1117Y 摩根全球平衡,2017/08/25,99181637,跨國平衡-全球型,TWD,15.43,0.934775
T1120A 摩根亞高息平衡 A,2017/08/25,21704027A,跨國平衡-亞洲,TWD,13.6596,0.557277
T1120B 摩根亞高息平衡 B,2017/08/25,21704027B,跨國平衡-亞洲,TWD,11.1197,0.557059
T1148A 摩根新興雙利A,2017/08/25,42299565A,跨國平衡-新興市,TWD,9.9337,0.995342
T1148B 摩根新興雙利B,2017/08/25,42299565B,跨國平衡-新興市,TWD,9.0195,0.995454
T1148C 摩根新興雙利B$,2017/08/25,42299565C,跨國平衡-新興市,USD,9.3437,1.237337
T1148D 摩根新興雙利BC,2017/08/25,42299565D,跨國平衡-新興市,CNY,9.878,1.140622
T1150A 摩根中國雙息平A,2017/08/25,42319892A,跨國平衡-中國,TWD,12.2731,2.055564
T1150B 摩根中國雙息平B,2017/08/25,42319892B,跨國平衡-中國,TWD,11.3874,2.05501
T1150C 摩根中國雙息平AC,2017/08/25,42319892C,跨國平衡-中國,CNY,13.7725,1.94225
T1150D 摩根中國雙息平BC,2017/08/25,42319892D,跨國平衡-中國,CNY,12.51,1.921103
T1207Y 華南永昌龍盈平衡,2017/08/25,18477625,平衡--價值股票型,TWD,22.6021,2.595983
T1239A 華南多重息平衡 A,2017/08/25,38618790A,跨國平衡-全球型,TWD,12.2,0.246509
T1239B 華南多重息平衡 B,2017/08/25,38618790B,跨國平衡-全球型,TWD,10.82,0.278036
T1239C 華南多重息平衡A$,2017/08/25,38618790C,跨國平衡-全球型,USD,12.49,0.482702
T1239D 華南多重息平衡B$,2017/08/25,38618790D,跨國平衡-全球型,USD,11.04,0.454958
T1252A 華南亞太動態平 A,2017/08/25,42388911A,跨國平衡-亞洲,TWD,11.08,0.362319
T1252B 華南亞太動態平 B,2017/08/25,42388911B,跨國平衡-亞洲,TWD,10.6,0.378788
T1414Y 新光福運平衡,2017/08/25,99975518,平衡--一般股票型,TWD,16.8049,1.281317
T1433A 新光美豐收平衡A,2017/08/25,42384458A,跨國平衡-全球型,TWD,9.84,0.203666
T1433B 新光美豐收平衡B,2017/08/25,42384458B,跨國平衡-全球型,TWD,9.42,0.212766
T1433C 新光美豐收平衡A$,2017/08/25,42384458C,跨國平衡-全球型,USD,10.6,0.569261
T1433D 新光美豐收平衡B$,2017/08/25,42384458D,跨國平衡-全球型,USD,10.16,0.594059
T1604Y 群益亞太新趨勢平,2017/08/25,48787295,跨國平衡-亞洲,TWD,16.65,1.031553
T1616Y 群益真善美,2017/08/25,17147605,平衡--一般股票型,TWD,16.9326,0.908214
T1617Y 群益平衡王,2017/08/25,18037845,平衡--價值股票型,TWD,19.8318,-0.067522
T1618Y 群益安家,2017/08/25,29243337,平衡--一般股票型,TWD,22.9581,2.11724
T1656A 群益中國金采A,2017/08/25,42301416A,跨國平衡-中國,TWD,8.8475,0.910158
T1656B 群益中國金采B,2017/08/25,42301416B,跨國平衡-中國,TWD,8.1139,0.909115
T1656C 群益中國金采A$,2017/08/25,42301416C,跨國平衡-中國,USD,9.6174,1.182536
T1656D 群益中國金采B$,2017/08/25,42301416D,跨國平衡-中國,USD,8.8191,1.182881
T1656E 群益中國金采AC,2017/08/25,42301416E,跨國平衡-中國,CNY,10.0297,0.781761
T1656F 群益中國金采BC,2017/08/25,42301416F,跨國平衡-中國,CNY,9.1971,0.782406
T1659A 群益金選平衡A,2017/08/25,42440058A,跨國平衡-全球型,TWD,9.9241,0.376255
T1659B 群益金選平衡B,2017/08/25,42440058B,跨國平衡-全球型,TWD,9.3247,0.375682
T1659C 群益金選平衡A$,2017/08/25,42440058C,跨國平衡-全球型,USD,10.4107,0.649684
T1659D 群益金選平衡B$,2017/08/25,42440058D,跨國平衡-全球型,USD,9.7838,0.650167
T1659E 群益金選平衡AC,2017/08/25,42440058E,跨國平衡-全球型,CNY,10.8249,0.593812
T1659F 群益金選平衡BC,2017/08/25,42440058F,跨國平衡-全球型,CNY,10.1686,0.593553
T2121A 柏瑞中國平衡A,2017/08/25,38651312A,跨國平衡-中國,TWD,10.4482,0.988798
T2121B 柏瑞中國平衡B,2017/08/25,38651312B,跨國平衡-中國,TWD,9.5998,0.987808
T2121C 柏瑞中國平衡A$,2017/08/25,38651312C,跨國平衡-中國,USD,10.7871,1.205599
T2121D 柏瑞中國平衡B$,2017/08/25,38651312D,跨國平衡-中國,USD,9.9047,1.205718
T2121E 柏瑞中國平衡AC,2017/08/25,38651312E,跨國平衡-中國,CNY,11.4757,1.144026
T2121F 柏瑞中國平衡BC,2017/08/25,38651312F,跨國平衡-中國,CNY,10.1813,1.144436
T2121G 柏瑞中國平衡N,2017/08/25,38651312G,跨國平衡-中國,TWD,10.982,0.988553
T2121H 柏瑞中國平衡NC,2017/08/25,38651312H,跨國平衡-中國,CNY,11.6549,1.144667
T2206Y 復華傳家,2017/08/25,17138818,平衡--一般股票型,TWD,21.0652,1.848387
T2209Y 復華傳家二號,2017/08/25,18035945,平衡--一般股票型,TWD,25.3568,1.40854
T2212Y 復華人生目標,2017/08/25,15742001,平衡--一般股票型,TWD,32.5201,1.620867
T2213Y 復華全球平衡,2017/08/25,99034755A,跨國平衡-全球型,TWD,19.18,1.750663
T2214Y 復華神盾,2017/08/25,99607599,平衡--一般股票型,TWD,22.1543,1.841993
T2217Y 復華亞太平衡,2017/08/25,48733658,跨國平衡-亞洲,TWD,12.94,0.778816
T2291A 復華中新經濟平衡,2017/08/25,42303499A,跨國平衡-中國,TWD,9.91,1.329242
T2291B 復華中新經濟平AC,2017/08/25,42303499B,跨國平衡-中國,CNY,10.89,0.833334
T2291C 復華中新經濟平BC,2017/08/25,42303499C,跨國平衡-中國,CNY,10.23,0.887574
T2507Y 永豐趨勢平衡,2017/08/25,14706582,平衡--一般股票型,TWD,42.76,1.591827
T2605Y 中國信託精穩,2017/08/25,18038078,平衡--價值股票型,TWD,17.7442,2.499495
T2624A 中信入息平衡A,2017/08/25,38530388A,跨國平衡-全球型,TWD,10.0986,0.923427
T2624B 中信入息平衡B,2017/08/25,38530388B,跨國平衡-全球型,TWD,9.0639,0.92306
T2630A 中信亞太多元息A,2017/08/25,42329152A,跨國平衡-亞洲,TWD,11.3602,0.990327
T2630B 中信亞太多元息B,2017/08/25,42329152B,跨國平衡-亞洲,TWD,10.6424,0.991659
T2639A 中信樂齡收益平A,2017/08/25,42443702A,跨國平衡-全球型,TWD,10.4,0.096246
T2639B 中信樂齡收益平B,2017/08/25,42443702B,跨國平衡-全球型,TWD,10.28,0.09737
T2639C 中信樂齡收益平A$,2017/08/25,42443702C,跨國平衡-全球型,USD,10.76,0.373134
T2639D 中信樂齡收益平B$,2017/08/25,42443702D,跨國平衡-全球型,USD,10.64,0.282752
T2751A 宏亞澳入息成平A,2017/08/25,38585186A,跨國平衡-亞洲,TWD,10.3271,-0.260767
T2751B 宏亞澳入息成平B,2017/08/25,38585186B,跨國平衡-亞洲,TWD,8.8674,-0.253096
T2751C 宏亞澳入息成平A$,2017/08/25,38585186C,跨國平衡-亞洲,USD,10.5241,0.015205
T2751D 宏亞澳入息成平B$,2017/08/25,38585186D,跨國平衡-亞洲,USD,9.0756,0.92747
T2751E 宏亞澳入息成平AA,2017/08/25,38585186E,跨國平衡-亞洲,AUD,10.3078,0.160329
T2751F 宏亞澳入息成平BA,2017/08/25,38585186F,跨國平衡-亞洲,AUD,8.9475,0.209435
T2751G 宏亞澳入息成平AC,2017/08/25,38585186G,跨國平衡-亞洲,CNY,0.7965,-0.375235
T2751H 宏亞澳入息成平BC,2017/08/25,38585186H,跨國平衡-亞洲,CNY,1.9513,-0.367627
T3204Y 野村平衡,2017/08/25,17602250,平衡--一般股票型,TWD,19.03,1.873661
T3221Y 野村鴻利,2017/08/25,00971103,平衡--一般股票型,TWD,21.96,1.949862
T3295A 野村多元收益平A,2017/08/25,42391084A,跨國平衡-全球型,TWD,10.004,0.480104
T3295B 野村多元收益平B,2017/08/25,42391084B,跨國平衡-全球型,TWD,9.3377,0.476682
T3295C 野村多元收益平A$,2017/08/25,42391084C,跨國平衡-全球型,USD,10.4013,0.594788
T3295D 野村多元收益平B$,2017/08/25,42391084D,跨國平衡-全球型,USD,9.7258,0.594728
T3295E 野村多元收益平AC,2017/08/25,42391084E,跨國平衡-全球型,CNY,10.749,0.552858
T3295F 野村多元收益平BC,2017/08/25,42391084F,跨國平衡-全球型,CNY,9.9493,0.550795
T3308Y 聯邦金鑽平衡,2017/08/25,98669575,平衡--一般股票型,TWD,22.0525,3.474084
T3328A 聯邦太平洋平衡A,2017/08/25,38546327A,跨國平衡-亞洲,TWD,12.0916,2.15865
T3328B 聯邦太平洋平衡B,2017/08/25,38546327B,跨國平衡-亞洲,TWD,11.7253,2.158117
T3328C 聯邦太平洋平衡AC,2017/08/25,38546327C,跨國平衡-亞洲,CNY,12.3583,1.615715
T3341A 聯邦全視界平衡A,2017/08/25,42449712A,跨國平衡-全球型,TWD,10.3188,0.185442
T3341B 聯邦全視界平衡B,2017/08/25,42449712B,跨國平衡-全球型,TWD,10.1159,0.185201
T3341C 聯邦全視界平衡AC,2017/08/25,42449712C,跨國平衡-全球型,CNY,11.3317,0.172379
T3341D 聯邦全視界平衡BC,2017/08/25,42449712D,跨國平衡-全球型,CNY,11.1143,0.146873
T3341E 聯邦全視界平衡A$,2017/08/25,42449712E,跨國平衡-全球型,USD,11.2754,0.414111
T3341F 聯邦全視界平衡B$,2017/08/25,42449712F,跨國平衡-全球型,USD,11.0575,0.416832
T3614Y 安聯全球計量,2017/08/25,48738909,平衡--模組操作型,TWD,12.41,0.812347
T3704Y 國泰平衡,2017/08/25,18494624,平衡--一般股票型,TWD,26.79,1.132504
T3743A 國泰全多重平衡 A,2017/08/25,38582842A,跨國平衡-全球型,TWD,10.77,0.748364
T3743B 國泰全多重平衡 B,2017/08/25,38582842B,跨國平衡-全球型,TWD,9.83,0.820512
T3743C 國泰全多重平衡A$,2017/08/25,38582842C,跨國平衡-全球型,USD,0.3957,0.866684
T3743D 國泰全多重平衡B$,2017/08/25,38582842D,跨國平衡-全球型,USD,0.3662,0.853758
T3743E 國泰全多重平衡I$,2017/08/25,38582842E,跨國平衡-全球型,USD,0.4143,0.901121
T3743F 國泰全多重平衡AA,2017/08/25,38582842F,跨國平衡-全球型,AUD,0.4461,0.790782
T3769A 國泰亞太息平衡A,2017/08/25,42331684A,跨國平衡-亞洲,TWD,11.2061,0.161781
T3769B 國泰亞太息平衡B,2017/08/25,42331684B,跨國平衡-亞洲,TWD,10.5888,0.1627
T3769C 國泰亞太息平衡A$,2017/08/25,42331684C,跨國平衡-亞洲,USD,0.3664,0.356066
T3769D 國泰亞太息平衡B$,2017/08/25,42331684D,跨國平衡-亞洲,USD,0.3463,0.376811
T3769E 國泰亞太息平衡AC,2017/08/25,42331684E,跨國平衡-亞洲,CNY,2.426,-0.209782
T3769F 國泰亞太息平衡AA,2017/08/25,42331684F,跨國平衡-亞洲,AUD,0.4611,0.304545
T4126A 凱基全高效平衡A,2017/08/25,42453588A,跨國平衡-全球型,TWD,9.97,0.40282
T4126B 凱基全高效平衡B,2017/08/25,42453588B,跨國平衡-全球型,TWD,9.77,0.4111
T4126C 凱基全高效平衡A$,2017/08/25,42453588C,跨國平衡-全球型,USD,10.4332,0.709481
T4332Y 華頓中國機會平衡,2017/08/25,38634406,跨國平衡-中國,TWD,12.1086,2.240086
T4519A 富蘭亞太平衡A,2017/08/25,42407614A,跨國平衡-亞洲,TWD,10.25,1.1846
T4519B 富蘭亞太平衡B,2017/08/25,42407614B,跨國平衡-亞洲,TWD,9.95,1.220754
T4519C 富蘭亞太平衡A$,2017/08/25,42407614C,跨國平衡-亞洲,USD,10.62,1.432665
T4519D 富蘭亞太平衡B$,2017/08/25,42407614D,跨國平衡-亞洲,USD,10.31,1.476379
T4519E 富蘭亞太平衡BC,2017/08/25,42407614E,跨國平衡-亞洲,CNY,10.44,1.16279
T4703Y 台新高股息平衡,2017/08/25,21719942,平衡--一般股票型,TWD,29.612,1.349525
T0105Y 兆豐國際萬全,2017/08/18,00971976,平衡--一般股票型,TWD,20.15,1.002506
T0121A 兆豐大中華平衡,2017/08/18,42334401A,跨國平衡-亞洲,TWD,9.79,0.823893
T0121B 兆豐大中華平衡 $,2017/08/18,42334401B,跨國平衡-亞洲,USD,10.43,0.870405
T0121C 兆豐大中華平衡 C,2017/08/18,42334401C,跨國平衡-亞洲,CNY,10.73,0.940733
T0320Y 第一金中概平衡,2017/08/18,99353151,平衡--一般股票型,TWD,22.54,0.490415
T0343A 第一金全球多息 A,2017/08/18,38539992A,跨國平衡-全球型,TWD,10.2353,0.450468
T0343B 第一金全球多息 B,2017/08/18,38539992B,跨國平衡-全球型,TWD,9.0192,0.451068
T0405Y 匯豐安富,2017/08/18,00971080,平衡--一般股票型,TWD,24.82,0.040307
T0458A 匯豐中多息平Aa,2017/08/18,38647535A,跨國平衡-中國,TWD,10.5181,0.400913
T0458B 匯豐中多息平Bd,2017/08/18,38647535B,跨國平衡-中國,TWD,9.7822,0.401308
T0458C 匯豐中多息平AaC,2017/08/18,38647535C,跨國平衡-中國,CNY,11.6564,0.578981
T0458D 匯豐中多息平BdC,2017/08/18,38647535D,跨國平衡-中國,CNY,10.9003,0.60175
T0458E 匯豐中多息平Aa$,2017/08/18,38647535E,跨國平衡-中國,USD,10.9138,0.487068
T0458F 匯豐中多息平Bd$,2017/08/18,38647535F,跨國平衡-中國,USD,10.2174,0.495721
T0479A 匯亞exJP多息平 A,2017/08/18,42443317A,跨國平衡-亞洲,TWD,10.49,0.382776
T0479B 匯亞exJP多息Bd,2017/08/18,42443317B,跨國平衡-亞洲,TWD,10.42,0.385356
T0479C 匯亞exJP多息BdC,2017/08/18,42443317C,跨國平衡-亞洲,CNY,11.13,0.632912
T0479D 匯亞exJP多息平A$,2017/08/18,42443317D,跨國平衡-亞洲,USD,10.99,0.641025
T0479E 匯亞exJP多息Bd$,2017/08/18,42443317E,跨國平衡-亞洲,USD,10.92,0.738008
T0479F 匯亞exJP多息BdA,2017/08/18,42443317F,跨國平衡-亞洲,AUD,10.98,0.826447
T0591A 元大中平衡 CNY,2017/08/18,31830473B,跨國平衡-中國,CNY,3.15,0.961538
T0591Y 元大中平衡 NTD,2017/08/18,31830473A,跨國平衡-中國,TWD,14.25,0.920679
T05A2A 元大新東協平衡,2017/08/18,42403764A,跨國平衡-亞洲,TWD,9.51,0.848355
T05A2B 元大新東協平衡 $,2017/08/18,42403764B,跨國平衡-亞洲,USD,9.921,0.956549
T05A3A 元大大中華豐平,2017/08/18,42451239A,跨國平衡-亞洲,TWD,10.646,1.787935
T05A3B 元大大中華豐平 C,2017/08/18,42451239B,跨國平衡-亞洲,CNY,10.93,1.882923
T0717Y 瀚亞理財通,2017/08/18,18036769,平衡--一般股票型,TWD,22.74,0.574966
T0747A 瀚亞亞太豐平衡 A,2017/08/18,38621330A,跨國平衡-亞洲,TWD,10.743,0.429088
T0747B 瀚亞亞太豐平衡 B,2017/08/18,38621330B,跨國平衡-亞洲,TWD,9.4005,0.429473
T0747C 瀚亞亞太豐平衡A$,2017/08/18,38621330C,跨國平衡-亞洲,USD,11.0054,0.487582
T0747D 瀚亞亞太豐平衡B$,2017/08/18,38621330D,跨國平衡-亞洲,USD,9.6371,0.487994
T0747E 瀚亞亞太豐平衡AA,2017/08/18,38621330E,跨國平衡-亞洲,AUD,11.2401,0.283717
T0747F 瀚亞亞太豐平衡BA,2017/08/18,38621330F,跨國平衡-亞洲,AUD,9.4214,0.281001
T0747G 瀚亞亞太豐平衡AZ,2017/08/18,38621330G,跨國平衡-亞洲,ZAR,13.1236,-0.300838
T0747H 瀚亞亞太豐平衡BZ,2017/08/18,38621330H,跨國平衡-亞洲,ZAR,10.5123,-0.316715
T0747J 瀚亞亞太豐平衡AC,2017/08/18,38621330I,跨國平衡-亞洲,CNY,11.7359,0.499246
T0747K 瀚亞亞太豐平衡BC,2017/08/18,38621330J,跨國平衡-亞洲,CNY,9.7532,0.498723
T0814Y 保德信金平衡,2017/08/18,18044064,平衡--價值股票型,TWD,28.3,0.035348
T0890A 保德信中國好平A,2017/08/18,42330171A,跨國平衡-中國,TWD,9.9359,0.781019
T0890B 保德信中國好平B,2017/08/18,42330171B,跨國平衡-中國,TWD,9.4856,0.781032
T0890C 保德信中國好平B$,2017/08/18,42330171C,跨國平衡-中國,USD,9.3768,0.770673
T0890D 保德信中國好平BC,2017/08/18,42330171D,跨國平衡-中國,CNY,9.3852,0.767893
T1114Y 摩根平衡,2017/08/18,18036846,平衡--價值股票型,TWD,27.45,-0.218102
T1117Y 摩根全球平衡,2017/08/18,99181637,跨國平衡-全球型,TWD,15.2871,0.522103
T1120A 摩根亞高息平衡 A,2017/08/18,21704027A,跨國平衡-亞洲,TWD,13.5839,0.059666
T1120B 摩根亞高息平衡 B,2017/08/18,21704027B,跨國平衡-亞洲,TWD,11.0581,0.059721
T1148A 摩根新興雙利A,2017/08/18,42299565A,跨國平衡-新興市,TWD,9.8358,0.213962
T1148B 摩根新興雙利B,2017/08/18,42299565B,跨國平衡-新興市,TWD,8.9306,0.213205
T1148C 摩根新興雙利B$,2017/08/18,42299565C,跨國平衡-新興市,USD,9.2295,0.28795
T1148D 摩根新興雙利BC,2017/08/18,42299565D,跨國平衡-新興市,CNY,9.7666,0.32048
T1150A 摩根中國雙息平A,2017/08/18,42319892A,跨國平衡-中國,TWD,12.0259,0.852042
T1150B 摩根中國雙息平B,2017/08/18,42319892B,跨國平衡-中國,TWD,11.1581,0.851417
T1150C 摩根中國雙息平AC,2017/08/18,42319892C,跨國平衡-中國,CNY,13.5101,0.954993
T1150D 摩根中國雙息平BC,2017/08/18,42319892D,跨國平衡-中國,CNY,12.2742,0.945785
T1207Y 華南永昌龍盈平衡,2017/08/18,18477625,平衡--價值股票型,TWD,22.0302,0.391445
T1239A 華南多重息平衡 A,2017/08/18,38618790A,跨國平衡-全球型,TWD,12.17,2.097316
T1239B 華南多重息平衡 B,2017/08/18,38618790B,跨國平衡-全球型,TWD,10.79,2.081362
T1239C 華南多重息平衡A$,2017/08/18,38618790C,跨國平衡-全球型,USD,12.43,2.220394
T1239D 華南多重息平衡B$,2017/08/18,38618790D,跨國平衡-全球型,USD,10.99,2.232559
T1252A 華南亞太動態平 A,2017/08/18,42388911A,跨國平衡-亞洲,TWD,11.04,0.821918
T1252B 華南亞太動態平 B,2017/08/18,42388911B,跨國平衡-亞洲,TWD,10.56,0.859599
T1414Y 新光福運平衡,2017/08/18,99975518,平衡--一般股票型,TWD,16.5923,0.234998
T1433A 新光美豐收平衡A,2017/08/18,42384458A,跨國平衡-全球型,TWD,9.82,0.101937
T1433B 新光美豐收平衡B,2017/08/18,42384458B,跨國平衡-全球型,TWD,9.4,0.106496
T1433C 新光美豐收平衡A$,2017/08/18,42384458C,跨國平衡-全球型,USD,10.54,0.094967
T1433D 新光美豐收平衡B$,2017/08/18,42384458D,跨國平衡-全球型,USD,10.1,0.198413
T1604Y 群益亞太新趨勢平,2017/08/18,48787295,跨國平衡-亞洲,TWD,16.48,0.980392
T1616Y 群益真善美,2017/08/18,17147605,平衡--一般股票型,TWD,16.7802,-0.847337
T1617Y 群益平衡王,2017/08/18,18037845,平衡--價值股票型,TWD,19.8452,0.306805
T1618Y 群益安家,2017/08/18,29243337,平衡--一般股票型,TWD,22.4821,0.985504
T1656A 群益中國金采A,2017/08/18,42301416A,跨國平衡-中國,TWD,8.7677,0.372057
T1656B 群益中國金采B,2017/08/18,42301416B,跨國平衡-中國,TWD,8.0408,0.37199
T1656C 群益中國金采A$,2017/08/18,42301416C,跨國平衡-中國,USD,9.505,0.458696
T1656D 群益中國金采B$,2017/08/18,42301416D,跨國平衡-中國,USD,8.716,0.457568
T1656E 群益中國金采AC,2017/08/18,42301416E,跨國平衡-中國,CNY,9.9519,0.554713
T1656F 群益中國金采BC,2017/08/18,42301416F,跨國平衡-中國,CNY,9.1257,0.554246
T1659A 群益金選平衡A,2017/08/18,42440058A,跨國平衡-全球型,TWD,9.8869,0.332857
T1659B 群益金選平衡B,2017/08/18,42440058B,跨國平衡-全球型,TWD,9.2898,0.333733
T1659C 群益金選平衡A$,2017/08/18,42440058C,跨國平衡-全球型,USD,10.3435,0.421355
T1659D 群益金選平衡B$,2017/08/18,42440058D,跨國平衡-全球型,USD,9.7206,0.42046
T1659E 群益金選平衡AC,2017/08/18,42440058E,跨國平衡-全球型,CNY,10.761,0.52406
T1659F 群益金選平衡BC,2017/08/18,42440058F,跨國平衡-全球型,CNY,10.1086,0.524071
T2121A 柏瑞中國平衡A,2017/08/18,38651312A,跨國平衡-中國,TWD,10.3459,1.080573
T2121B 柏瑞中國平衡B,2017/08/18,38651312B,跨國平衡-中國,TWD,9.5059,1.081432
T2121C 柏瑞中國平衡A$,2017/08/18,38651312C,跨國平衡-中國,USD,10.6586,1.154028
T2121D 柏瑞中國平衡B$,2017/08/18,38651312D,跨國平衡-中國,USD,9.7867,1.155568
T2121E 柏瑞中國平衡AC,2017/08/18,38651312E,跨國平衡-中國,CNY,11.3459,1.136527
T2121F 柏瑞中國平衡BC,2017/08/18,38651312F,跨國平衡-中國,CNY,10.0661,1.136342
T2121G 柏瑞中國平衡N,2017/08/18,38651312G,跨國平衡-中國,TWD,10.8745,1.080095
