Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
00679B 元大美債20年,TW00000679B0,42461573,元大美國政府20年期(以上)債券 ETF傘型基金之元大美國政府20年期(以上)債券證券投資信託基金,NTD,元大證券投資信託,Current,2017/01/11,,"國內募集,投資國內外",開放,債券-一般ETF,ETF,
00680L 元大美債20正2,TW00000680L7,42461567,元大美國政府20年期(以上)債券 ETF傘型基金之元大美國政府20年期(以上)債券單日正向 2倍證券投資信託基金,NTD,元大證券投資信託,Current,2017/01/11,,"國內募集,投資國內外",開放,債券-二倍ETF,ETF,
00681R 元大美債20反1,TW00000681R2,42461588,元大美國政府20年期(以上)債券 ETF傘型基金之元大美國政府20年期(以上)債券單日反向 1倍證券投資信託基金,NTD,元大證券投資信託,Current,2017/01/11,,"國內募集,投資國內外",開放,債券-反向ETF,ETF,
00682U 元大美元指數,TW00000682U4,42469717,元大標普美元指數傘型期貨信託基金之元大標普美元ER指數股票型期貨信託基金,NTD,元大證券投資信託,Current,2017/03/06,,"國內募集,投資國內外",開放,,ETF,
00683L 元大美元指數正2,TW00000683L1,42469738,元大標普美元指數傘型期貨信託基金之元大標普美元ER單日正向 2倍指數股票型期貨信託基金,NTD,元大證券投資信託,Current,2017/03/06,,"國內募集,投資國內外",開放,,ETF,
00684R 元大美元指數反1,TW00000684R6,42469723,元大標普美元指數傘型期貨信託基金之元大標普美元ER單日反向 1倍指數股票型期貨信託基金,NTD,元大證券投資信託,Current,2017/03/06,,"國內募集,投資國內外",開放,,ETF,
00685L 群益臺灣加權正2,TW00000685L6,42481276,群益臺灣加權指數 ETF傘型證券投資信託基金之群益臺灣加權指數單日正向2倍證券投資信託基金,NTD,群益證券投資信託,Current,2017/03/23,,"國內募集,投資國內",開放,國內指數-二倍ETF,ETF,
00686R 群益臺灣加權反1,TW00000686R1,42481260,群益臺灣加權指數 ETF傘型證券投資信託基金－群益臺灣加權指數單日反向1倍證券投資信託基金,NTD,群益證券投資信託,Current,2017/03/23,,"國內募集,投資國內",開放,國內指數-反向ETF,ETF,
00687B 國泰20年美債,TW00000687B3,42482726,國泰美國債券 ETF傘型證券投資信託基金之彭博巴克萊20年期(以上)美國公債指數證券投資信託基金,NTD,國泰證券投資信託,Current,2017/04/06,,"國內募集,投資國內外",開放,債券-一般ETF,ETF,
00688L 國泰20年美債正2,TW00000688L0,42482747,國泰美國債券 ETF傘型證券投資信託基金之彭博巴克萊20年期(以上)美國公債指數單日正向2倍證券投資信託基金,NTD,國泰證券投資信託,Current,2017/04/06,,"國內募集,投資國內外",開放,債券-二倍ETF,ETF,
