Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
T3322A 聯邦囍新興亞債 A,TW000T3322A2,31887600A,聯邦(又又)囍新興亞洲債券證券投資信託基金 A,NTD,聯邦證券投資信託,Current,2012/08/15,,"國內募集,投資國內外",開放,投資債--新興亞洲,債券,
T3322B 聯邦囍新興亞債 B,TW000T3322B0,31887600B,聯邦(又又)囍新興亞洲債券證券投資信託基金 B,NTD,聯邦證券投資信託,Current,2012/08/15,,"國內募集,投資國內外",開放,投資債--新興亞洲,債券,
T3322C 聯邦囍新興亞債AC,TW000T3322C8,31887600C,聯邦(又又)囍新興亞洲債券證券投資信託基金 A－人民幣計價避險,RMB,聯邦證券投資信託,Current,2015/11/02,,"國內募集,投資國內外",開放,投資債--新興亞洲,債券,
T3322D 聯邦囍新興亞債BC,TW000T3322D6,31887600D,聯邦(又又)囍新興亞洲債券證券投資信託基金 B－人民幣計價避險,RMB,聯邦證券投資信託,Current,2015/11/02,,"國內募集,投資國內外",開放,投資債--新興亞洲,債券,
T3326A 聯邦新興資源債 A,TW000T3326A3,31998423A,聯邦新興資源豐富國家高收益債券證券投資信託基金 A類型,NTD,聯邦證券投資信託,Current,2013/12/09,2018/05/24,"國內募集,投資國內外",開放,高收債--新興市場,債券,被併入 T3335A  聯邦永騰亞洲高收益債券A
T3326B 聯邦新興資源債 B,TW000T3326B1,31998423B,聯邦新興資源豐富國家高收益債券證券投資信託基金 B類型,NTD,聯邦證券投資信託,Current,2013/12/09,2018/05/24,"國內募集,投資國內外",開放,高收債--新興市場,債券,被併入 T3335B  聯邦永騰亞洲高收益債券B
T3328A 聯邦太平洋平衡A,TW000T3328A9,38546327A,聯邦環太平洋平衡證券投資信託基金（不配息),NTD,聯邦證券投資信託,Current,2014/06/05,,"國內募集,投資國內外",開放,跨國平衡-亞洲,股票+債券,
T3328B 聯邦太平洋平衡B,TW000T3328B7,38546327B,聯邦環太平洋平衡證券投資信託基金（配息),NTD,聯邦證券投資信託,Current,2014/06/05,,"國內募集,投資國內外",開放,跨國平衡-亞洲,股票+債券,
T3328C 聯邦太平洋平衡AC,TW000T3328C5,38546327C,聯邦環太平洋平衡證券投資信託基金（不配息)－人民幣計價避險,RMB,聯邦證券投資信託,Current,2015/11/02,,"國內募集,投資國內外",開放,跨國平衡-亞洲,股票+債券,
T3330A 聯邦全多ETF組,TW000T3330A5,42308380A,聯邦全球多元ETF組合基金,NTD,聯邦證券投資信託,Current,2015/07/14,,"國內募集,投資國內外",開放,跨國組合--其他,基金,
T3330B 聯邦全多ETF組 $,TW000T3330B3,42308380B,聯邦全球多元ETF組合基金－美元計價,USD,聯邦證券投資信託,Current,2015/07/14,,"國內募集,投資國內外",開放,跨國組合--其他,基金,
T3335A 聯邦永騰亞高債A,TW000T3335A4,42386420A,聯邦永騰亞洲高收益債券證券投資信託基金－ A類型新臺幣計價,NTD,聯邦證券投資信託,Current,2016/04/25,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T3335B 聯邦永騰亞高債B,TW000T3335B2,42386420B,聯邦永騰亞洲高收益債券證券投資信託基金－ B類型新臺幣計價,NTD,聯邦證券投資信託,Current,2016/04/25,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T3335C 聯邦永騰亞高債AC,TW000T3335C0,42386420C,聯邦永騰亞洲高收益債券證券投資信託基金－ A類型人民幣計價,RMB,聯邦證券投資信託,Current,2016/04/25,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T3335D 聯邦永騰亞高債BC,TW000T3335D8,42386420D,聯邦永騰亞洲高收益債券證券投資信託基金－ B類型人民幣計價,RMB,聯邦證券投資信託,Current,2016/04/25,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T3335E 聯邦永騰亞高債A$,TW000T3335E6,42386420E,聯邦永騰亞洲高收益債券證券投資信託基金－ A類型美元計價,USD,聯邦證券投資信託,Current,2016/04/25,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T3335F 聯邦永騰亞高債B$,TW000T3335F3,42386420F,聯邦永騰亞洲高收益債券證券投資信託基金－ B類型美元計價,USD,聯邦證券投資信託,Current,2016/04/25,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T3341A 聯邦全視界平衡A,TW000T3341A2,42449712A,聯邦全視界平衡證券投資信託基金－ A類型（不配息）,NTD,聯邦證券投資信託,Current,2016/11/21,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T3341B 聯邦全視界平衡B,TW000T3341B0,42449712B,聯邦全視界平衡證券投資信託基金－ B類型（配息）,NTD,聯邦證券投資信託,Current,2016/11/21,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T3341C 聯邦全視界平衡AC,TW000T3341C8,42449712C,聯邦全視界平衡證券投資信託基金－ A類型（不配息）人民幣計價避險級別,RMB,聯邦證券投資信託,Current,2016/11/21,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T3341D 聯邦全視界平衡BC,TW000T3341D6,42449712D,聯邦全視界平衡證券投資信託基金－ B類型（配息）人民幣計價避險級別,RMB,聯邦證券投資信託,Current,2016/11/21,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T3341E 聯邦全視界平衡A$,TW000T3341E4,42449712E,聯邦全視界平衡證券投資信託基金－ A類型（不配息）美元計價,USD,聯邦證券投資信託,Current,2016/11/21,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T3341F 聯邦全視界平衡B$,TW000T3341F1,42449712F,聯邦全視界平衡證券投資信託基金－ B類型（配息）美元計價,USD,聯邦證券投資信託,Current,2016/11/21,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T3342A 聯邦全高息策A,TW000T3342A0,42525400A,聯邦全球高息策略證券投資信託基金－ A類型新臺幣計價,NTD,聯邦證券投資信託,Current,2017/07/18,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T3342B 聯邦全高息策B,TW000T3342B8,42525400B,聯邦全球高息策略證券投資信託基金－ B類型新臺幣計價,NTD,聯邦證券投資信託,Current,2017/07/18,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T3342C 聯邦全高息策A$,TW000T3342C6,42525400C,聯邦全球高息策略證券投資信託基金－ A類型美元計價,USD,聯邦證券投資信託,Current,2017/07/18,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T3342D 聯邦全高息策B$,TW000T3342D4,42525400D,聯邦全球高息策略證券投資信託基金－ B類型美元計價,USD,聯邦證券投資信託,Current,2017/07/18,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T3343A 聯邦前瞻六脈A,TW000T3343A8,72964524A,聯邦前瞻六脈證券投資信託基金 A類型新臺幣,NTD,聯邦證券投資信託,Current,2018/06/01,,"國內募集,投資國內外",開放,跨國投資--亞洲,股票,
T3343B 聯邦前瞻六脈B,TW000T3343B6,72964524B,聯邦前瞻六脈證券投資信託基金 B類型新臺幣,NTD,聯邦證券投資信託,Current,2018/06/01,,"國內募集,投資國內外",開放,跨國投資--亞洲,股票,
T3343C 聯邦前瞻六脈A$,TW000T3343C4,72964524C,聯邦前瞻六脈證券投資信託基金 A類型美元,USD,聯邦證券投資信託,Current,2018/06/01,,"國內募集,投資國內外",開放,跨國投資--亞洲,股票,
T3343D 聯邦前瞻六脈B$,TW000T3343D2,72964524D,聯邦前瞻六脈證券投資信託基金 B類型美元,USD,聯邦證券投資信託,Current,2018/06/01,,"國內募集,投資國內外",開放,跨國投資--亞洲,股票,
T3345A 聯邦2024新債Aa$,TW000T3345A3,73661668A,聯邦2024年到期新興市場債券證券投資信託基金 美元,USD,聯邦證券投資信託,Current,2018/12/17,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T3345B 聯邦2024新債AaC,TW000T3345B1,73661668B,聯邦2024年到期新興市場債券證券投資信託基金 人民幣,RMB,聯邦證券投資信託,Current,2018/12/17,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T3501Y 鋒裕匯理阿波羅Aa,TW000T3501Y1,17597600,鋒裕匯理阿波羅證券投資信託基金,NTD,鋒裕匯理證券投資信託,Current,2000/02/15,,"國內募集,投資國內",開放,開放式一般型,股票,
T3502Y 鋒裕所羅門貨幣Aa,TW000T3502Y9,18035966,鋒裕匯理所羅門貨幣市場證券投資信託基金,NTD,鋒裕匯理證券投資信託,Current,2000/08/25,,"國內募集,投資國內",開放,國內貨幣市場,貨幣,
T3510Y 未來閣來寶全球組,TW000T3510Y2,99645003,未來資產閣來寶全球組合證券投資信託基金,NTD,鋒裕匯理證券投資信託,Current,2004/07/16,2018/06/28,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,清算
T3514A 未來亞太不動產 A,TW000T3514A4,48925184A,未來資產亞太不動產證券化證券投資信託基金 A類型,NTD,鋒裕匯理證券投資信託,Current,2007/08/31,2018/06/15,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,清算
T3514B 未來亞太不動產 B,TW000T3514B2,48925184B,未來資產亞太不動產證券化證券投資信託基金 B類型,NTD,鋒裕匯理證券投資信託,Current,2007/08/31,2018/06/15,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,清算
T3515Y 未來台灣新趨勢,TW000T3515Y1,10341251,未來資產台灣新趨勢證券投資信託基金,NTD,鋒裕匯理證券投資信託,Current,2008/08/15,2018/08/23,"國內募集,投資國內",開放,開放式一般型,股票,被併入 T3501Y  鋒裕匯理阿波羅
T3516B 未來資亞高收債 B,TW000T3516B7,26299194B,未來資產亞洲高收益債券證券投資信託基金 B類型,NTD,鋒裕匯理證券投資信託,Current,2013/03/04,2018/10/24,"國內募集,投資國內外",開放,高收債--亞洲,債券,清算
T3516Y 未來亞洲高收債 A,TW000T3516Y9,26299194A,未來資產亞洲高收益債券證券投資信託基金 A類型,NTD,鋒裕匯理證券投資信託,Current,2011/03/28,2018/10/24,"國內募集,投資國內外",開放,高收債--亞洲,債券,清算
T3518Y 鋒裕匯理亞新富Aa,TW000T3518Y5,26378535,鋒裕匯理亞洲新富證券投資信託基金,NTD,鋒裕匯理證券投資信託,Current,2011/11/04,,"國內募集,投資國內外",開放,跨國投資--亞洲,股票,
T3520A 未來資產新興債 A,TW000T3520A1,31939614A,未來資產新興市場債券證券投資信託基金 A類型,NTD,鋒裕匯理證券投資信託,Current,2013/05/10,2018/10/24,"國內募集,投資國內外",開放,投資債--全球新興,債券,清算
T3520B 未來資產新興債 B,TW000T3520B9,31939614B,未來資產新興市場債券證券投資信託基金 B類型,NTD,鋒裕匯理證券投資信託,Current,2013/05/10,2018/10/24,"國內募集,投資國內外",開放,投資債--全球新興,債券,清算
T3521Y 未來資全球大消費,TW000T3521Y9,31971888,未來資產全球大消費證券投資信託基金,NTD,鋒裕匯理證券投資信託,Current,2013/06/24,2018/12/14,"國內募集,投資國內外",開放,跨國--全球股票,股票,清算
T3601Y 安聯台灣大壩,TW000T3601Y9,17604124,安聯台灣大壩證券投資信託基金,NTD,安聯證券投資信託,Current,2000/04/10,,"國內募集,投資國內",開放,開放式一般型,股票,
T3602Y 安聯台灣貨幣,TW000T3602Y7,18033003,安聯台灣貨幣市場證券投資信託基金,NTD,安聯證券投資信託,Current,2000/07/31,,"國內募集,投資國內",開放,國內貨幣市場,貨幣,
T3604Y 安聯台灣科技,TW000T3604Y3,18480065,安聯台灣科技證券投資信託基金,NTD,安聯證券投資信託,Current,2001/04/03,,"國內募集,投資國內",開放,開放式科技類,科技股,
T3605B 安聯全球生技 USD,TW000T3605B8,14693593B,安聯全球生技趨勢證券投資信託基金－美元計價,USD,安聯證券投資信託,Current,2015/04/20,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T3605Y 安聯全球生技趨勢,TW000T3605Y0,14693593A,安聯全球生技趨勢證券投資信託基金,NTD,安聯證券投資信託,Current,2002/06/21,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T3607B 安聯全球債 B,TW000T3607B4,98669250B,安聯全球債券證券投資信託基金 B月配型,NTD,安聯證券投資信託,Current,2013/02/01,,"國內募集,投資國內外",開放,投資債--全球,債券,
T3607Y 安聯全球債 A,TW000T3607Y6,98669250A,安聯全球債券證券投資信託基金 A累積型,NTD,安聯證券投資信託,Current,2003/06/11,,"國內募集,投資國內外",開放,投資債--全球,債券,
T3608Y 安聯亞洲動態,TW000T3608Y4,99337168,安聯亞洲動態策略證券投資信託基金,NTD,安聯證券投資信託,Current,2004/01/15,,"國內募集,投資國內外",開放,跨國投資--亞洲,股票,
T3610Y 安聯全球新興,TW000T3610Y0,99978472,安聯全球新興市場證券投資信託基金,NTD,安聯證券投資信託,Current,2005/03/24,,"國內募集,投資國內外",開放,跨國--新興市場,股票,
T3614Y 安聯全球計量,TW000T3614Y2,48738909,安聯全球計量平衡證券投資信託基金,NTD,安聯證券投資信託,Current,2006/05/09,2018/09/20,"國內募集,投資國內外",開放,平衡--模組操作型,股票+債券,被併入 T3635A  安聯收益成長多重資產A
T3615Y 安聯全球綠能,TW000T3615Y9,48806595,安聯全球綠能趨勢證券投資信託基金,NTD,安聯證券投資信託,Current,2006/10/11,,"國內募集,投資國內外",開放,跨國--全球股票,能源股票,
T3617Y 安聯全球人口,TW000T3617Y5,48937267,安聯全球人口趨勢證券投資信託基金,NTD,安聯證券投資信託,Current,2007/09/27,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T3618Y 安聯全球農金,TW000T3618Y3,48981946,安聯全球農金趨勢證券投資信託基金,NTD,安聯證券投資信託,Current,2008/02/12,,"國內募集,投資國內外",開放,跨國--全球資源,股票,
T3619Y 安聯台灣智慧,TW000T3619Y1,48997911,安聯台灣智慧證券投資信託基金,NTD,安聯證券投資信託,Current,2008/04/24,,"國內募集,投資國內",開放,開放式一般型,股票,
T3620B 安聯四季回報A$,TW000T3620B7,10350645B,安聯四季回報債券組合證券投資信託基金－A類型美元計價,USD,安聯證券投資信託,Current,2016/09/19,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3620C 安聯四季回報B,TW000T3620C5,10350645C,安聯四季回報債券組合證券投資信託基金－B類型新臺幣計價,NTD,安聯證券投資信託,Current,2018/01/02,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3620Y 安聯四季回報A,TW000T3620Y9,10350645A,安聯四季回報債券組合證券投資信託基金－A類型新臺幣計價,NTD,安聯證券投資信託,Current,2008/10/17,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3621B 安聯中國策略$,TW000T3621B5,25589337B,安聯中國策略證券投資信託基金 美元,USD,安聯證券投資信託,Current,2018/09/10,,"國內募集,投資國內外",開放,跨國--大中華區,股票,
T3621Y 安聯中國策略,TW000T3621Y7,25589337A,安聯中國策略證券投資信託基金,NTD,安聯證券投資信託,Current,2009/05/18,,"國內募集,投資國內外",開放,跨國--大中華區,股票,
T3622Y 安聯全球油礦,TW000T3622Y5,25627819,安聯全球油礦金趨勢證券投資信託基金,NTD,安聯證券投資信託,Current,2009/12/01,,"國內募集,投資國內外",開放,跨國--全球資源,能源股票,
T3623Y 安聯中國東協,TW000T3623Y3,25680150,安聯中國東協證券投資基金,NTD,安聯證券投資信託,Current,2010/05/26,,"國內募集,投資國內外",開放,跨國投資--亞洲,股票,
T3624Y 安聯亞洲小型企業,TW000T3624Y1,26282932,安聯亞洲小型企業證券投資基金,NTD,安聯證券投資信託,Current,2011/01/17,2016/09/08,"國內募集,投資國內外",開放,跨國投資--亞洲,股票,被併入 T3608Y  安聯亞洲動態策略
T3626A 安聯四季豐債組 A,TW000T3626A6,26398976A,安聯四季豐收債券組合證券投資信託基金 A類型,NTD,安聯證券投資信託,Current,2012/01/02,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3626B 安聯四季豐債組 B,TW000T3626B4,26398976B,安聯四季豐收債券組合證券投資信託基金 B類型,NTD,安聯證券投資信託,Current,2012/01/02,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3626C 安聯四季豐債組AC,TW000T3626C2,26398976C,安聯四季豐收債券組合證券投資信託基金 A類型－人民幣計價,RMB,安聯證券投資信託,Current,2014/10/13,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3626D 安聯四季豐債組BC,TW000T3626D0,26398976D,安聯四季豐收債券組合證券投資信託基金 B類型－人民幣計價,RMB,安聯證券投資信託,Current,2014/10/13,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3626E 安聯四季豐債組B$,TW000T3626E8,26398976E,安聯四季豐收債券組合證券投資信託基金 B類型－美元計價,USD,安聯證券投資信託,Current,2016/08/10,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3626F 安聯四季豐債組A$,TW000T3626F5,26398976F,安聯四季豐收債券組合證券投資信託基金 A類型－美元計價,USD,安聯證券投資信託,Current,2016/10/17,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3626G 安聯四季豐債Nd,TW000T3626G3,26398976G,安聯四季豐收債券組合證券投資信託基金 N類型,NTD,安聯證券投資信託,Current,2018/10/02,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3626H 安聯四季豐債NdC,TW000T3626H1,26398976H,安聯四季豐收債券組合證券投資信託基金 N類型－人民幣計價,RMB,安聯證券投資信託,Current,2018/10/02,,"國內募集,投資國內外",開放,債券組合--複合式,基金,
T3627A 安聯四季雙收息 A,TW000T3627A4,38481149A,安聯四季雙收入息組合證券投資信託基金 A類型,NTD,安聯證券投資信託,Current,2013/12/04,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3627B 安聯四季雙收息 B,TW000T3627B2,38481149B,安聯四季雙收入息組合證券投資信託基金 B類型,NTD,安聯證券投資信託,Current,2013/12/04,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3627C 安聯四季雙收息A$,TW000T3627C0,38481149C,安聯四季雙收入息組合證券投資信託基金 A類型 美元計價,USD,安聯證券投資信託,Current,2014/09/16,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3627D 安聯四季雙收息B$,TW000T3627D8,38481149D,安聯四季雙收入息組合證券投資信託基金 B類型 美元計價,USD,安聯證券投資信託,Current,2014/09/16,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3627E 安聯四季雙收息BC,TW000T3627E6,38481149E,安聯四季雙收入息組合證券投資信託基金 B類型 人民幣計價,RMB,安聯證券投資信託,Current,2015/06/08,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3628A 安聯四季成長組合,TW000T3628A2,38552137A,安聯四季成長組合證券投資信託基金,NTD,安聯證券投資信託,Current,2014/08/13,,"國內募集,投資國內外",開放,跨國股組合--一般,基金,
T3628B 安聯四季成組合 $,TW000T3628B0,38552137B,安聯四季成長組合證券投資信託基金－美元計價,USD,安聯證券投資信託,Current,2014/08/13,,"國內募集,投資國內外",開放,跨國股組合--一般,基金,
T3629A 安聯目標 A,TW000T3629A0,38647774A,安聯目標收益證券投資信託基金－ A類型新台幣計價,NTD,安聯證券投資信託,Current,2015/01/27,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3629B 安聯目標 B,TW000T3629B8,38647774B,安聯目標收益證券投資信託基金－ B類型新台幣計價,NTD,安聯證券投資信託,Current,2015/01/27,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3629C 安聯目標A$,TW000T3629C6,38647774C,安聯目標收益證券投資信託基金－ A類型美元計價,USD,安聯證券投資信託,Current,2015/01/27,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3629D 安聯目標B$,TW000T3629D4,38647774D,安聯目標收益證券投資信託基金－ B類型美元計價,USD,安聯證券投資信託,Current,2015/01/27,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3629E 安聯目標AC,TW000T3629E2,38647774E,安聯目標收益證券投資信託基金－ A類型人民幣計價,RMB,安聯證券投資信託,Current,2015/01/27,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3629F 安聯目標BC,TW000T3629F9,38647774F,安聯目標收益證券投資信託基金－ B類型人民幣計價,RMB,安聯證券投資信託,Current,2015/01/27,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3629G 安聯目標Nd,TW000T3629G7,38647774G,安聯目標收益證券投資信託基金－ N類型新台幣,NTD,安聯證券投資信託,Current,2019/01/02,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3629H 安聯目標NdC,TW000T3629H5,38647774I,安聯目標收益證券投資信託基金－ N類型人民幣計價,RMB,安聯證券投資信託,Current,2019/01/02,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3630A 安聯人幣貨幣基金,TW000T3630A8,42304758A,安聯人民幣貨幣市場證券投資信託基金,NTD,安聯證券投資信託,Current,2015/06/09,,"國內募集,投資國內外",開放,海外貨幣市場,貨幣,
T3630B 安聯人幣貨幣-CNY,TW000T3630B6,42304758B,安聯人民幣貨幣市場證券投資信託基金-人民幣計價,RMB,安聯證券投資信託,Current,2015/06/09,,"國內募集,投資國內外",開放,海外貨幣市場,貨幣,
T3630C 安聯人幣貨幣 $,TW000T3630C4,42304758C,安聯人民幣貨幣市場證券投資信託基金-美元計價,USD,安聯證券投資信託,Current,2015/06/09,,"國內募集,投資國內外",開放,海外貨幣市場,貨幣,
T3631A 安聯中新思路,TW000T3631A6,42319470A,安聯中華新思路證券投資信託基金,NTD,安聯證券投資信託,Current,2015/09/14,,"國內募集,投資國內外",開放,跨國--大中華區,股票,
T3631B 安聯新思路 C,TW000T3631B4,42319470B,安聯中華新思路證券投資信託基金－人民幣計價,RMB,安聯證券投資信託,Current,2015/09/14,,"國內募集,投資國內外",開放,跨國--大中華區,股票,
T3631C 安聯新思路 $,TW000T3631C2,42319470C,安聯中華新思路證券投資信託基金－美元計價,USD,安聯證券投資信託,Current,2015/09/14,,"國內募集,投資國內外",開放,跨國--大中華區,股票,
T3632A 安聯目標多元息A,TW000T3632A4,42386553A,安聯目標多元入息證券投資信託基金 A類型－新台幣計價,NTD,安聯證券投資信託,Current,2016/04/19,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3632B 安聯目標多元息B,TW000T3632B2,42386553B,安聯目標多元入息證券投資信託基金 B類型－新台幣計價,NTD,安聯證券投資信託,Current,2016/04/19,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3632C 安聯目標多元息A$,TW000T3632C0,42386553C,安聯目標多元入息證券投資信託基金 A類型－美元計價,USD,安聯證券投資信託,Current,2016/04/19,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3632D 安聯目標多元息B$,TW000T3632D8,42386553D,安聯目標多元入息證券投資信託基金 B類型－美元計價,USD,安聯證券投資信託,Current,2016/04/19,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3632E 安聯目標多元Nd,TW000T3632E6,42386553E,安聯目標多元入息證券投資信託基金 N類型－新台幣計價,NTD,安聯證券投資信託,Current,2018/10/02,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3633A 安聯DMAS核心組,TW000T3633A2,42483540A,安聯DMAS全球傘型證券投資信託基金－安聯DMAS核心組合證券投資信託基金,NTD,安聯證券投資信託,Current,2017/04/27,,"國內募集,投資國內外",開放,跨國組合--其他,基金,
T3633B 安聯DMAS核心組$,TW000T3633B0,42483540B,安聯DMAS全球傘型證券投資信託基金－安聯DMAS核心組合證券投資信託基金－美元計價,USD,安聯證券投資信託,Current,2017/04/27,,"國內募集,投資國內外",開放,跨國組合--其他,基金,
T3634A 安聯DMAS 50組合,TW000T3634A0,42483555A,安聯DMAS全球傘型證券投資信託基金－安聯 DMAS 50組合證券投資信託基金,NTD,安聯證券投資信託,Current,2017/04/27,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3634B 安聯DMAS 50組合$,TW000T3634B8,42483555B,安聯DMAS全球傘型證券投資信託基金－安聯 DMAS 50組合證券投資信託基金－美元計價,USD,安聯證券投資信託,Current,2017/04/27,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T3635A 安聯收成長多重A,TW000T3635A7,72954167A,安聯收益成長多重資產證券投資信託基金 A類型新臺幣,NTD,安聯證券投資信託,Current,2018/04/23,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T3635B 安聯收成長多重B,TW000T3635B5,72954167B,安聯收益成長多重資產證券投資信託基金 B類型新臺幣,NTD,安聯證券投資信託,Current,2018/04/23,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T3635C 安聯收成長多重AC,TW000T3635C3,72954167C,安聯收益成長多重資產證券投資信託基金 A類型人民幣,RMB,安聯證券投資信託,Current,2018/04/23,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T3635D 安聯收成長多重BC,TW000T3635D1,72954167D,安聯收益成長多重資產證券投資信託基金 B類型人民幣,RMB,安聯證券投資信託,Current,2018/04/23,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T3635E 安聯收成多重Nd,TW000T3635E9,72954167E,安聯收益成長多重資產證券投資信託基金 N類型新臺幣,NTD,安聯證券投資信託,Current,2018/10/02,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T3635F 安聯收成多重NdC,TW000T3635F6,72954167F,安聯收益成長多重資產證券投資信託基金 N類型人民幣,RMB,安聯證券投資信託,Current,2018/10/02,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T3636A 安聯美短高債Aa,TW000T3636A5,74711899A,安聯美國短年期高收益債券證券投資信託基金 A類型新臺幣,NTD,安聯證券投資信託,Current,2019/05/03,,"國內募集,投資國內外",開放,高收債--全球,債券,
T3636B 安聯美短高債Bd,TW000T3636B3,74711899B,安聯美國短年期高收益債券證券投資信託基金 B類型新臺幣,NTD,安聯證券投資信託,Current,2019/05/03,,"國內募集,投資國內外",開放,高收債--全球,債券,
T3636C 安聯美短高債Nd,TW000T3636C1,74711899C,安聯美國短年期高收益債券證券投資信託基金 N類型新臺幣,NTD,安聯證券投資信託,Current,2019/05/03,,"國內募集,投資國內外",開放,高收債--全球,債券,
T3636D 安聯美短高債BdC,TW000T3636D9,74711899D,安聯美國短年期高收益債券證券投資信託基金 B類型人民幣,RMB,安聯證券投資信託,Current,2019/05/03,,"國內募集,投資國內外",開放,高收債--全球,債券,
T3636E 安聯美短高債NdC,TW000T3636E7,74711899E,安聯美國短年期高收益債券證券投資信託基金 N類型人民幣,RMB,安聯證券投資信託,Current,2019/05/03,,"國內募集,投資國內外",開放,高收債--全球,債券,
T3636F 安聯美短高債Bd$,TW000T3636F4,74711899F,安聯美國短年期高收益債券證券投資信託基金 B類型美元,USD,安聯證券投資信託,Current,2019/05/03,,"國內募集,投資國內外",開放,高收債--全球,債券,
T3636G 安聯美短高債Nd$,TW000T3636G2,74711899G,安聯美國短年期高收益債券證券投資信託基金 N類型美元,USD,安聯證券投資信託,Current,2019/05/03,,"國內募集,投資國內外",開放,高收債--全球,債券,
T3636H 安聯美短高債Aa$,TW000T3636H0,74711899H,安聯美國短年期高收益債券證券投資信託基金 A類型美元,USD,安聯證券投資信託,Current,2019/05/03,,"國內募集,投資國內外",開放,高收債--全球,債券,
T3701U 國泰國泰I,TW000T3701U5,17612497B,國泰國泰證券投資信託基金 I類型,NTD,國泰證券投資信託,Current,2018/04/16,,"國內募集,投資國內",開放,開放式一般型,股票,
T3701Y 國泰國泰A,TW000T3701Y7,17612497A,國泰國泰證券投資信託基金 A類型,NTD,國泰證券投資信託,Current,2000/06/23,,"國內募集,投資國內",開放,開放式一般型,股票,
T3702Y 國泰台灣貨幣市場,TW000T3702Y5,18034853,國泰台灣貨幣市場證券投資信託基金,NTD,國泰證券投資信託,Current,2000/08/07,,"國內募集,投資國內",開放,國內貨幣市場,貨幣,
