Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
12/19/2016,28.1391,28.135,-0.02%,Discount
12/16/2016,28.0185,28.025,0.02%,Premium
12/15/2016,28.0366,28.05,0.05%,Premium
12/14/2016,27.9121,27.925,0.05%,Premium
12/13/2016,28.1655,28.19,0.09%,Premium
12/12/2016,28.0526,28.065,0.04%,Premium
12/09/2016,28.1711,28.18,0.03%,Premium
12/08/2016,28.1019,28.105,0.01%,Premium
12/07/2016,27.9064,27.88,-0.10%,Discount
12/06/2016,27.4958,27.52,0.09%,Premium
12/05/2016,27.3502,27.41,0.22%,Premium
12/02/2016,27.1213,27.125,0.01%,Premium
12/01/2016,27.1106,27.11,0.00%,Discount
11/30/2016,27.1581,27.195,0.14%,Premium
11/29/2016,27.3076,27.315,0.03%,Premium
11/28/2016,27.2913,27.295,0.01%,Premium
11/25/2016,27.3309,27.345,0.05%,Premium
11/23/2016,27.355,27.385,0.11%,Premium
11/22/2016,27.2895,27.315,0.09%,Premium
11/21/2016,27.1724,27.19,0.07%,Premium
11/18/2016,27.1745,27.19,0.06%,Premium
11/17/2016,27.1509,27.17,0.07%,Premium
11/16/2016,27.0535,27.08,0.10%,Premium
11/15/2016,27.0487,27.075,0.10%,Premium
11/14/2016,27.144,27.14,-0.02%,Discount
11/11/2016,26.8268,26.83,0.01%,Premium
11/10/2016,26.5781,26.555,-0.09%,Discount
11/09/2016,26.5605,26.56,0.00%,Discount
11/08/2016,26.7331,26.735,0.01%,Premium
11/07/2016,26.6792,26.67,-0.03%,Discount
11/04/2016,26.7877,26.79,0.01%,Premium
11/03/2016,26.8113,26.81,-0.01%,Discount
11/02/2016,26.8814,26.905,0.09%,Premium
11/01/2016,27.0756,27.085,0.04%,Premium
10/31/2016,27.3012,27.315,0.05%,Premium
10/28/2016,27.1666,27.185,0.07%,Premium
10/27/2016,27.1278,27.12,-0.03%,Discount
10/26/2016,27.4718,27.47,-0.01%,Discount
10/25/2016,27.5792,27.58,0.00%,Premium
10/24/2016,27.7176,27.73,0.05%,Premium
10/21/2016,27.6305,27.65,0.07%,Premium
10/20/2016,27.5525,27.56,0.03%,Premium
10/19/2016,27.6785,27.665,-0.05%,Discount
10/18/2016,27.5852,27.58,-0.02%,Discount
10/17/2016,27.4224,27.48,0.21%,Premium
10/14/2016,27.4922,27.515,0.08%,Premium
10/13/2016,27.5138,27.52,0.02%,Premium
10/12/2016,27.6338,27.65,0.06%,Premium
10/11/2016,27.5983,27.645,0.17%,Premium
10/10/2016,27.9697,27.995,0.09%,Premium
10/07/2016,27.8014,27.84,0.14%,Premium
10/06/2016,27.882,27.9,0.06%,Premium
10/05/2016,27.841,27.86,0.07%,Premium
10/04/2016,27.6914,27.705,0.05%,Premium
10/03/2016,27.8152,27.835,0.07%,Premium
09/30/2016,27.9875,28.025,0.13%,Premium
09/29/2016,27.7305,27.755,0.09%,Premium
09/28/2016,28.0362,28.05,0.05%,Premium
09/27/2016,27.8686,27.875,0.02%,Premium
09/26/2016,27.6851,27.73,0.16%,Premium
09/23/2016,27.94,27.985,0.16%,Premium
09/22/2016,28.0736,28.095,0.08%,Premium
09/21/2016,27.8332,27.845,0.04%,Premium
09/20/2016,27.4639,27.515,0.19%,Premium
09/19/2016,27.5671,27.595,0.10%,Premium
09/16/2016,27.4991,27.51,0.04%,Premium
